,OBJECTID *,address,zip,lat,long,neighborhood,status,NTA2020,NTAName,NTAAbbrev,CDTA2020,CDTAName,NTAType
35,36,75 thayer street #6g in  fort george,10040,40.863959,-73.927073,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
36,37,6813 21st avenue #3d in bensohurst,11204,40.612923,-73.98562,Borough Park,No Claim,BK1101,Bensonhurst,Bnsnhrst,BK11,BK11 Bensonhurst-Bath Beach (CD 11 Approximation),
37,38,31-23 47th street #3d in astoria,11103,40.757967,-73.911779,Northwest Queens,No Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
38,39, 293 central park west #4f in upper west side,10024,40.787595,-73.968012,Upper West Side,No Claim,MN0702,Upper West Side (Central),UWS_C,MN07,MN07 Upper West Side (CD 7 Approximation),
39,40,333 ovington avenue #b58 in bay ridge,11209,40.634723,-74.025291,Southwest Brooklyn,No Claim,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),
40,41,272 division avenue #1dd in williamsburg,11211,40.706865,-73.955255,Greenpoint,No Claim,BK0103,South Williamsburg,SWllmsbrg,BK01,BK01 Williamsburg-Greenpoint (CD 1 Equivalent),
41,42,2978 east 196th street #2a in pelham bay,10461,40.854281,-73.828528,Southeast Bronx,No Claim,BX1003,Pelham Bay-Country Club-City Island,PlhmBy,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),
42,43,104-20 queens boulevard #2n in forest hills,11375,40.724035,-73.850087,West Central Queens,No Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),
43,44,409 east 87th street #2d in yorkville,10128,40.777394,-73.948083,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
44,45,1976 madison avenue #3a in central harlem,10035,40.806626,-73.94023,East Harlem,No Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),
45,46,445 west 48th street #4a in hell's kitchen,10036,40.763285,-73.991848,Chelsea and Clinton,No Claim,MN0402,Hell's Kitchen,HllsKtchn,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),
46,47,32 cornelia street #11 in west village,10014,40.73113,-74.002492,Greenwich Village and Soho,No Claim,MN0203,West Village,WstVlg,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),
47,48,33-11 broadway #3f in astoria,10031,40.8192,-73.956084,Inwood and Washington Heights,No Claim,MN0902,Manhattanville-West Harlem,Mnhttnvl,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),
48,49,25-12 41st street #2r in astoria,11103,40.767344,-73.911388,Northwest Queens,No Claim,QN0104,Astoria (East)-Woodside (North),Astr_E,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
49,50,123-33 83rd avenue #203 in kew gardens ,11415,40.711552,-73.827662,Southwest Queens,No Claim,QN0901,Kew Gardens,KwGrdns,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),
50,51,3054 east tremont avenue #3r in schuylerville ,10461,40.839159,-73.836793,Southeast Bronx,No Claim,BX1002,Throgs Neck-Schuylerville,ThrgsNck,BX10,BX10 Co-op City-Throgs Neck (CD 10 Approximation),
51,52,336 east 61st street #8 in lenox hill,10065,40.760989,-73.961859,Upper East Side,No Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
52,53,458 east 144th street #unit2 in north new york,10454,40.811976,-73.918392,Hunts Point and Mott Haven,No Claim,BX0101,Mott Haven-Port Morris,MttHvn,BX01,BX01 Melrose-Mott Haven-Port Morris (CD 1 Approximation),
53,54,104-21 68 drive #a13 in forest hills,11375,40.724651,-73.848633,West Central Queens,No Claim,QN0602,Forest Hills,FrstHls,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),
54,55,30 west 181st street #d9 in university heights ,10453,40.856146,-73.906836,Central Bronx,No Claim,BX0501,University Heights (South)-Morris Heights,UnvrsHts_S,BX05,BX05 Morris Heights-Mount Hope (CD 5 Approximation),
55,56,599 w 141st st in upper west side,10031,40.823853,-73.952203,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),
56,57,201 west 105th street #3 in manhattan valley,10025,40.800023,-73.96645,Upper West Side,No Claim,MN0703,Upper West Side-Manhattan Valley,UWS_MnVly,MN07,MN07 Upper West Side (CD 7 Approximation),
57,58,37-53 62nd street #5a in woodside,11377,40.747691,-73.901008,West Queens,Claim,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),
58,59,865 saint john's place #2a in crown heights,11216,40.669402,-73.942232,Central Brooklyn,No Claim,BK0901,Crown Heights (South),CrwnHts_S,BK09,BK09 Crown Heights (South) (CD 9 Approximation),
59,60,986 rogers avenue #4a in flatbush,11226,40.646139,-73.952145,Flatbush,No Claim,BK1701,East Flatbush-Erasmus,EFb_Ersms,BK17,BK17 East Flatbush (CD 17 Approximation),
60,61,2565 grandconcourse #4e in fordham,10468,40.864286,-73.896333,Bronx Park and Fordham,No Claim,BX0701,University Heights (North)-Fordham,UnvrsHts_N,BX07,BX07 Fordham-Bedford Park-Norwood (CD 7 Approximation),
61,62,206 west 21st street #a9 in chelsea,10011,40.742865,-73.997265,Chelsea and Clinton,No Claim,MN0401,Chelsea-Hudson Yards,Chls_HdsYd,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),
62,63,73 lexington avenue #d6 in kips bay,10010,40.741116,-73.983306,Gramercy Park and Murray Hill,Claim,MN0602,Gramercy,Grmrcy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),
63,64,124-07 hillside avenue #1 in kew gardens ,11418,40.702777,-73.826847,Southwest Queens,Claim,QN0901,Kew Gardens,KwGrdns,QN09,QN09 Kew Gardens-Richmond Hill-Woodhaven (CD 9 Approximation),
64,65,45 tennis court #6a in prospect park south,11226,40.648702,-73.961443,Flatbush,No Claim,BK1401,Flatbush,Fltbsh,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
65,66,1765 townsend avenue #10i in mt. hope,10453,40.8472183,-73.9197505,Central Bronx,No Claim,BX0502,Mount Hope,<Null>,<Null>,<Null>,
66,67,441 wilson avenue #b2 in bushwick,11221,40.693899,-73.913306,Bushwick and Williamsburg,No Claim,BK0402,Bushwick (East),Bshwck_E,BK04,BK04 Bushwick (CD 4 Equivalent),
67,68,128 marine avenue #1g in fort hamilton,11209,40.616836,-74.036138,Southwest Brooklyn,No Claim,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),
68,69,190 utica avenue #3r in weeksville,11213,40.672257,-73.931112,Central Brooklyn,No Claim,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),
69,70,86-20 139th street #2 in briarwood ,11435,40.707354,-73.816666,Jamaica,No Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),
70,71,133 ft george avenue #4g in fort george,10040,40.857428,-73.927325,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
71,72,350 wadsworth avenue #4b in fort george,10040,40.858268,-73.93183,Inwood and Washington Heights,Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
72,73,630 rugby road #2 in ditmas park,11230,40.634105,-73.964238,Borough Park,No Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
73,74,267 w 146th street #19 in central harlem ,10039,40.823295,-73.940609,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),
74,75,"254 seaman avenue apt a1 new york, ny 10034 in inwood 10034",10034,40.8721,-73.918302,Inwood and Washington Heights,No Claim,MN1203,Inwood,Inwd,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
75,76,"316 east 93rd street apt 27 new york, ny 10128 in yorkville  10128",10128,40.781803,-73.947624,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
76,77,417 west 47th street #2se in hell's kitchen,10036,40.762096,-73.991049,Chelsea and Clinton,No Claim,MN0402,Hell's Kitchen,HllsKtchn,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),
77,78,5532 netherland avenue #5d in riverdale,10471,40.903232,-73.906018,Kingsbridge and Riverdale,No Claim,BX0803,Riverdale-Spuyten Duyvil,Rvrdl,BX08,BX08 Riverdale-Kingsbridge-Marble Hill (CD 8 Approximation),
78,79,491 amsterdam avenue #2c in upper west side,10024,40.786011,-73.975863,Upper West Side,No Claim,MN0702,Upper West Side (Central),UWS_C,MN07,MN07 Upper West Side (CD 7 Approximation),
79,80,284 west 137th street #3r in central harlem,10030,40.81739,-73.944917,Central Harlem,No Claim,MN1002,Harlem (North),Hrlm_N,MN10,MN10 Harlem (CD 10 Equivalent),
80,81,41-10 bowne street #2c in flushing,11355,40.759479,-73.824114,North Queens,No Claim,QN0707,Flushing-Willets Point,Flshng,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),
81,82,64-22 ellwell crescent #2,11374,40.72143,-73.864361,West Central Queens,Claim,QN0601,Rego Park,RegoPk,QN06,QN06 Forest Hills-Rego Park (CD 6 Approximation),
82,83,1410 prospect place #d1,11213,40.672998,-73.929808,Central Brooklyn,Claim,BK0802,Crown Heights (North),CrwnHts_N,BK08,BK08 Crown Heights (North) (CD 8 Approximation),
83,84,67 cooper st apt 1a 10034,10034,40.86805,-73.922411,Inwood and Washington Heights,Claim,MN1203,Inwood,Inwd,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
84,85,232 east 64th street #14 in lenox hill,10065,40.763898,-73.962843,Upper East Side,Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
85,86,242 east 89th street #1d in yorkville,10128,40.779879,-73.95096,Upper East Side,Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
86,87,153-50 89th avenue apt 810 in jamaica 11432,11432,40.705244,-73.80265,Jamaica,Claim,QN1201,Jamaica,Jmca,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),
87,88,135-20 82nd avenue #4j in briarwood,11435,40.714325,-73.822525,Jamaica,Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),
88,89,91-32 195th street #3k in holis,11423,40.712267,-73.766081,Jamaica,Claim,QN1206,Hollis,Hlls,QN12,QN12 Jamaica-St. Albans-Hollis (CD 12 Approximation),
89,90,977 summit avenue #4d in highbridge,10452,40.832492,-73.930891,High Bridge and Morrisania,Claim,BX0402,Highbridge,Hghbrdg,BX04,BX04 Highbridge-Concourse (CD 4 Approximation),
90,91,25-98 36th street #5tp in astoria,11103,40.766904,-73.916046,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
91,92,496 e 189th street apt 16 in belmont 10458,10458,40.858861,-73.889328,Bronx Park and Fordham,No Claim,BX0603,Belmont,Blmnt,BX06,BX06 Tremont-Belmont-West Farms (CD 6 Approximation),
92,93,3204 holland avenue #1b in williamsbridge,10467,40.87181,-73.864949,Bronx Park and Fordham,No Claim,BX1201,Williamsbridge-Olinville,Wllmsbrdg,BX12,BX12 Wakefield-Williamsbridge-Eastchester (CD 12 Approximation),
93,94,523 east 85th street #3d in yorkville,10028,40.774848,-73.94643,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
94,95,1581 east 24th street #a6 in homecrest,10010,40.739496,-73.982669,Gramercy Park and Murray Hill,No Claim,MN0602,Gramercy,Grmrcy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),
95,96,41-36 42nd street #3c in sunnyside,11104,40.743276,-73.919632,Northwest Queens,Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),
96,97,144-25 33rd avenue #3bb in murray hill,11354,40.747879,-73.975657,North Queens,Claim,MN0603,Murray Hill-Kips Bay,MryHl_KpBy,MN06,MN06 East Midtown-Murray Hill (CD 6 Approximation),
97,98,1657 madison avenue #3b in south harlem,10029,40.79637,-73.947216,East Harlem,Claim,MN1101,East Harlem (South),EstHrlm_S,MN11,MN11 East Harlem (CD 11 Equivalent),
98,99,63-11 qns boulevard #21 in woodside,11377,40.741824,-73.901949,West Queens,No Claim,QN0203,Woodside,Wdsd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),
99,100,274 west 115th street #2aa in south harlem,10026,40.803333,-73.955292,Central Harlem,No Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),
100,101,245 east 124th street #5b in east harlem,10035,40.802436,-73.934484,East Harlem,No Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),
101,102,135-23 82nd avenue #4b in briarwood,11435,40.710932,-73.813561,Jamaica,No Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),
102,103,144-47 38th avenue #1f in murray hills,11354,40.763479,-73.82098,North Queens,Claim,QN0704,Murray Hill-Broadway Flushing,MryHl_BwyF,QN07,QN07 Flushing-Murray Hill-Whitestone (CD 7 Approximation),
103,104,160 allen street #19 in lower east side,10002,40.72094,-73.989146,Lower East Side,Claim,MN0302,Lower East Side,LES,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),
104,105,951 amsterdam avenue #2b in manhattan valley,10025,40.80079,-73.965105,Upper West Side,Claim,MN0703,Upper West Side-Manhattan Valley,UWS_MnVly,MN07,MN07 Upper West Side (CD 7 Approximation),
105,106,407 west 39th street apt w3c in hudson yards 10018,10018,40.757213,-73.995041,Chelsea and Clinton,Claim,MN0402,Hell's Kitchen,HllsKtchn,MN04,MN04 Chelsea-Hell's Kitchen (CD 4 Approximation),
106,107,39 first avenue #7 in east village,10003,40.724305,-73.988105,Lower East Side,Claim,MN0303,East Village,EstVlg,MN03,MN03 Lower East Side-Chinatown (CD 3 Equivalent),
107,108,17 vermilyea avenue #2a in inwood,10034,40.864647,-73.925693,Inwood and Washington Heights,No Claim,MN1203,Inwood,Inwd,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
108,109,54 elizabeth street #54-20 in chinatown,10013,40.717211,-73.996368,Greenwich Village and Soho,No Claim,MN0201,SoHo-Little Italy-Hudson Square,SoHo,MN02,MN02 Greenwich Village-SoHo (CD 2 Equivalent),
109,110,169 east 92nd street #e1 in carnegie hill,10128,40.783073,-73.951646,Upper East Side,Claim,MN0802,Upper East Side-Carnegie Hill,UES_CrngHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
110,111,955 coney island avenue #209 in ditmas park,11230,40.634333,-73.966931,Borough Park,Claim,BK1402,Flatbush (West)-Ditmas Park-Parkville,Fltbsh_W,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
111,112,23-20 30 drive #5dd in astoria,11102,40.767057,-73.927346,Northwest Queens,Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
112,113,107 vanderveer street #1h in bushwick,11207,40.682537,-73.903297,East New York and New Lots,No Claim,BK0402,Bushwick (East),Bshwck_E,BK04,BK04 Bushwick (CD 4 Equivalent),
113,114,55 cumberland street #5 in fort greene,11205,40.696453,-73.97436,Northwest Brooklyn,No Claim,BK0203,Fort Greene,FtGrn,BK02,BK02 Downtown Brooklyn-Fort Greene (CD 2 Approximation),
114,115,9101 shore road #102 in fort hamilton,11209,40.621147,-74.039784,Southwest Brooklyn,No Claim,BK1001,Bay Ridge,ByRdg,BK10,BK10 Bay Ridge-Dyker Heights (CD 10 Approximation),
115,116,31-19 32nd street #18 in astoria,11106,40.76331,-73.92287,Northwest Queens,No Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
116,117,3660 broadway #51a in hamilton heights,10031,40.830276,-73.947291,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),
117,118,1675 east 21st street #2a in midwood,11210,40.612203,-73.952594,Flatbush,Claim,BK1403,Midwood,Mdwd,BK14,BK14 Flatbush-Midwood (CD 14 Approximation),
118,119,53-36 van dam street #2r in sunnyside,11101,40.735134,-73.937605,Northwest Queens,Claim,QN0202,Sunnyside,Snnysd,QN02,QN02 Long Island City-Sunnyside-Woodside (CD 2 Approximation),
119,120,31-15 34th street #2b in astoria,11106,40.762682,-73.921171,Northwest Queens,Claim,QN0103,Astoria (Central),Astr_C,QN01,QN01 Astoria-Queensbridge (CD 1 Equivalent),
120,121,260 audobon avenue #20l in washington heights,10033,40.847074,-73.933905,Inwood and Washington Heights,Claim,MN1201,Washington Heights (South),WshHts_S,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
121,122,1369 first avenue #4c in lenox hill,10021,40.768967,-73.955529,Upper East Side,Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
122,123,316 east 62nd street #5re in lenox hill,10065,40.761992,-73.962369,Upper East Side,Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
123,124,315 west 121st street #6 in south harlem,10027,40.808259,-73.953869,Central Harlem,Claim,MN1001,Harlem (South),Hrlm_S,MN10,MN10 Harlem (CD 10 Equivalent),
124,125,85-15 139th street #3e in briarwood,11435,40.708545,-73.816618,Jamaica,No Claim,QN0805,Jamaica Hills-Briarwood,JmcaHls,QN08,QN08 Fresh Meadows-Hillcrest-Briarwood (CD 8 Approximation),
125,126,64 hillside avenue #5v in fort george,10040,40.858553,-73.928912,Inwood and Washington Heights,No Claim,MN1202,Washington Heights (North),WshHts_N,MN12,MN12 Washington Heights-Inwood (CD 12 Equivalent),
126,127,736 riverside drive #c in hamilton heights,10031,40.830827,-73.94931,Inwood and Washington Heights,No Claim,MN0903,Hamilton Heights-Sugar Hill,HmltnHts,MN09,MN09 Morningside Heights-Hamilton Heights (CD 9 Equivalent),
127,128,408 east 78th street #4bb in lenox hill,10075,40.771258,-73.952675,Upper East Side,No Claim,MN0801,Upper East Side-Lenox Hill-Roosevelt Island,UES_LnxHl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
128,129,62 west 71st street #a in lincoln square,10023,40.776346,-73.978905,Upper West Side,No Claim,MN0701,Upper West Side-Lincoln Square,UWS_LclnSq,MN07,MN07 Upper West Side (CD 7 Approximation),
129,130,2171-2181 madison avenue #2a in central harlem,10037,40.812632,-73.935287,Central Harlem,No Claim,MN1102,East Harlem (North),EstHrlm_N,MN11,MN11 East Harlem (CD 11 Equivalent),
130,131,530 east 89th street #lj in yorkville,10128,40.777138,-73.944487,Upper East Side,No Claim,MN0803,Upper East Side-Yorkville,UES_Yrkvl,MN08,MN08 Upper East Side-Roosevelt Island (CD 8 Equivalent),
